value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,state,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,nodep,ruid,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,kworker/u8:9,,,,,638944,,1,,3205167597,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27845,11906,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544339000,,1322077219,,,,,64,14886691,,,34,1500,,40460,16,,6,,
,,,,0,,,,,,,syscall_access,,,,,0,,841750268,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,0,,,0,,,,,,,,-2,,,,,,/etc/ld.so.nohwcap,,,,,92241551124230,,,34,,,,,,,,
,,,,4,,,,,,,syscall_access,,,,,0,,841750268,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,36,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,92241551165636,,,34,,,,,,,,
,,,,3,,,,,,,syscall_open,,,,,0,,841750268,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,14955077,,,34,,,,524288,,,,
,,,,,,,,,,1,net_dev_queue,229,,,,0,,420875134,,4,kworker/u8:9,,,,,638944,,1,,3205169045,,1514,,5343,1322077235,,16384,,,,5,,,,8,,0,0,,0,,27846,11905,,,,,,,2861157994,0,,,0,,,enxb827eb8ec29a,,,,,,0,,2544338616,,1322077219,,,,,64,14994347,,,34,1500,,40460,16,,6,,
,,,,,,,,,,,syscall_close,,,,,0,,841750268,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,15012212,,,34,,,,,,,,
,,,,31072,,,,,,,syscall_open,,,,,0,,841750268,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/usr/lib/arm-linux-gnueabihf/libarmmem.so,,,,,15041534,,,34,,,,524288,,,,
,,,,,,,,,512,,syscall_read,,,,,0,,841750268,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122332176,,512,,,,,,,,,,,15054920,,,34,,,,,,,,
,,,,,,,,,1000,,syscall_read,,,,,0,,841750268,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122330920,,1000,,,,,,,,,,,15069451,,,34,,,,,,,,
,,,,,,,,,45,,syscall_read,,,,,0,,841750268,,,kworker/u8:9,,,,,638944,,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122330864,,45,,,,,,,,,,,15075284,,,34,,,,,,,,
